FILE,fefee888-308a-497e-8e0b-ef63f79a4f29,C:\Users\Lenovo\Desktop\cobol\PDCBVC\PDCBVC.CBL,20260505165517136
COPY,66ee6bb6-6d43-408f-ba47-38c27563a7d3,fefee888-308a-497e-8e0b-ef63f79a4f29,PDRTIP01
COPY,7767abb3-9587-4207-9b3f-c47fd5ebcab4,fefee888-308a-497e-8e0b-ef63f79a4f29,PDRVC
COPY,e18ea5fa-904d-4468-8d69-5acbc2d6012d,fefee888-308a-497e-8e0b-ef63f79a4f29,PD1VOCI
COPY,dbc90181-82d3-482d-8dc7-361e2ab07bb1,fefee888-308a-497e-8e0b-ef63f79a4f29,PD1FS00
COPY,4821e782-ed8a-4f77-bc47-438dcb9e9bb9,fefee888-308a-497e-8e0b-ef63f79a4f29,PDRUTI01
COPY,d0ceab18-a252-4109-abc1-d800a11bd082,fefee888-308a-497e-8e0b-ef63f79a4f29,PXCSEMAF
COPY,0e36675c-30e3-4bd9-a112-2c6994e0f27b,fefee888-308a-497e-8e0b-ef63f79a4f29,PDCBVCM
COPY,ff99f6f6-948d-4747-b6c2-4c49c36ca6a7,fefee888-308a-497e-8e0b-ef63f79a4f29,DFHBMSCA
COPY,c36a3958-37c2-43a2-befd-65e3666e204b,fefee888-308a-497e-8e0b-ef63f79a4f29,DFHAID
SQLINCLUDE,ff8808b1-9a12-4ac9-9e48-17cf8310ab25,fefee888-308a-497e-8e0b-ef63f79a4f29,SQLCA
SQLINCLUDE,3d9c7c1d-1895-4fc8-b314-f074793c5f1d,fefee888-308a-497e-8e0b-ef63f79a4f29,PDWSQLER
COPY,e9397fa9-0c9d-4f72-9b7f-ef29e83ecbcd,fefee888-308a-497e-8e0b-ef63f79a4f29,PDRTWA2
COPY,ac8d66db-a4a7-4a9d-8bb1-878b9b355b05,fefee888-308a-497e-8e0b-ef63f79a4f29,PDIABEND
SQLINCLUDE,00624819-bd00-4c6a-8800-466a234c3c76,fefee888-308a-497e-8e0b-ef63f79a4f29,PDPSQLER
COPY,a7c9c4cc-30be-4b01-b69c-8f2b6921f662,fefee888-308a-497e-8e0b-ef63f79a4f29,PDSAVTW2
PGM,b1aa2ec5-2f0f-447d-a06e-b7411da715e9,fefee888-308a-497e-8e0b-ef63f79a4f29,PDCBVC,392,72,14,2,0,1321,1319,0,0,2
CALL,18327911-5260-41b2-9ce4-f14a0f9224db,b1aa2ec5-2f0f-447d-a06e-b7411da715e9,PDCBVC,CICSLINKBYLITERAL,PD1VOCI
CALL,400c520f-33db-462c-90eb-32fa22b6962e,b1aa2ec5-2f0f-447d-a06e-b7411da715e9,PDCBVC,CICSLINKBYLITERAL,PD1FS00
CALL,9fd5f5e4-458a-42e1-a842-9bcf36fdb108,b1aa2ec5-2f0f-447d-a06e-b7411da715e9,PDCBVC,CALLBYIDENTIFIER,PXRSEMAF
CALL,893e1dbb-556d-40d7-b07b-15602c5b76eb,b1aa2ec5-2f0f-447d-a06e-b7411da715e9,PDCBVC,CICSLINKBYLITERAL,PD0UTI01
CALL,0da17ef5-a211-4d7e-8a44-3759703c52f3,b1aa2ec5-2f0f-447d-a06e-b7411da715e9,PDCBVC,CICSXCTLBYLITERAL,PDPRED
DB2TABLE,591efb14-2bd7-4afe-ae66-8f520130d281,b1aa2ec5-2f0f-447d-a06e-b7411da715e9,DUAL,selectIntoStatement
